# Open Chinese Convert (OpenCC) Dictionary (Third-party)
# File: GovVariants.txt
# Format: key	value(s) (values separated by spaces)
# Contributors: TerryTian-tech
# License: Apache License 2.0
# Source: https://github.com/TerryTian-tech/OpenCC-Traditional-Chinese-characters-according-to-Chinese-government-standards
# Description: Convert old Chinese Glyphs to Printed Common Traditional Chinese Characters.
# Examples : 奧 → 奥; 顚 → 顛；讪 → 訕; 讫 → 訖; 驭 → 馭
# Reference: 《通用规范汉字表》(2013)
# Used in configs: t2new.json

跞	躒
跥	跺
践	踐
跶	躂
跷	蹺
跸	蹕
跹	躚
跻	躋
踊	踴
踌	躊
踬	躓
踯	躑
蹑	躡
蹒	蹣
蹿	躥
躏	躪
躜	躦
躯	軀
躱	躲
輧	軿
轀	輼
车	車
轧	軋
轨	軌
轩	軒
轪	軑
轫	軔
转	轉
轭	軛
轮	輪
软	軟
轰	轟
轱	軲
轲	軻
轳	轤
轴	軸
轵	軹
轶	軼
轷	軤
轸	軫
轹	轢
轺	軺
轻	輕
轼	軾
载	載
轾	輊
轿	轎
辀	輈
辁	輇
辂	輅
较	較
辄	輒
辅	輔
辆	輛
辇	輦
辈	輩
辉	輝
辊	輥
辋	輞
辌	輬
辍	輟
辎	輜
辏	輳
辐	輻
辑	輯
辒	輼
输	輸
辔	轡
辕	轅
辖	轄
辗	輾
辘	轆
辙	轍
辚	轔
辞	辭
辩	辯
辫	辮
边	邊
辽	遼
达	達
迁	遷
过	過
迈	邁
运	運
还	還
这	這
进	進
远	遠
违	違
连	連
迟	遲
迩	邇
迳	逕
选	選
逊	遜
递	遞
逥	迴
逦	邐
逬	迸
逻	邏
遗	遺
遙	遥
邓	鄧
邝	鄺
邬	鄔
邮	郵
邹	鄒
邺	鄴
邻	鄰
郉	邢
郏	郟
郐	鄶
郑	鄭
郓	鄆
郞	郎
郦	酈
郧	鄖
郸	鄲
鄕	鄉
鄼	酇
酂	酇
酝	醖
酦	醱
酱	醬
酽	釅
酾	釃
酿	釀
醞	醖
释	釋
鉴	鑒
銮	鑾
銳	鋭
錄	録
錾	鏨
鎭	鎮
鎻	鎖
鐡	鐵
鑚	鑽
钆	釓
钇	釔
针	針
钉	釘
钊	釗
钋	釙
钌	釕
钍	釷
钎	釺
钏	釧
钐	釤
钒	釩
钓	釣
钔	鍆
钕	釹
钖	鍚
钗	釵
钘	鈃
钙	鈣
钚	鈈
钛	鈦
钜	鉅
钝	鈍
钞	鈔
钠	鈉
钡	鋇
钢	鋼
钣	鈑
钤	鈐
钥	鑰
钦	欽
钧	鈞
钨	鎢
钩	鈎
钪	鈧
钫	鈁
钬	鈥
钭	鈄
钮	鈕
钯	鈀
钰	鈺
钱	錢
钲	鉦
钳	鉗
钴	鈷
钵	鉢
钷	鉕
钹	鈸
钺	鉞
钻	鑽
钼	鉬
钽	鉭
钾	鉀
钿	鈿
铀	鈾
铁	鐵
铂	鉑
铃	鈴
铄	鑠
铅	鉛
铆	鉚
铈	鈰
铉	鉉
铊	鉈
铋	鉍
铌	鈮
铍	鈹
铎	鐸
铏	鉶
铐	銬
铑	銠
铒	鉺
铕	銪
铖	鋮
铗	鋏
铘	鋣
铙	鐃
铚	銍
铛	鐺
铜	銅
铝	鋁
铞	銱
铟	銦
铠	鎧
铡	鍘
铢	銖
铣	銑
铤	鋌
铥	銩
铧	鏵
铨	銓
铩	鎩
铪	鉿
铫	銚
铬	鉻
铭	銘
铮	錚
铯	銫
铰	鉸
铱	銥
铲	鏟
铳	銃
铴	鐋
铵	銨
银	銀
铷	銣
铸	鑄
铹	鐒
铺	鋪
铻	鋙
铼	錸
铽	鋱
链	鏈
铿	鏗
销	銷
锁	鎖
锂	鋰
锃	鋥
锄	鋤
锅	鍋
锆	鋯
锇	鋨
锈	銹
锉	銼
锊	鋝
锋	鋒
锌	鋅
锍	鋶
锎	鐦
锏	鐧
锐	鋭
锑	銻
锒	鋃
锓	鋟
锔	鋦
锕	錒
锖	錆
锗	鍺
锘	鍩
错	錯
锚	錨
锛	錛
锜	錡
锝	鍀
锞	錁
锟	錕
锡	錫
锢	錮
锣	鑼
锤	錘
锥	錐
锦	錦
锧	鑕
锨	鍁
锩	錈
锪	鍃
锫	錇
锬	錟
锭	錠
键	鍵
锯	鋸
锰	錳
锱	錙
锲	鍥
锳	鍈
锴	鍇
锵	鏘
锶	鍶
锷	鍔
锸	鍤
锹	鍬
锻	鍛
锼	鎪
锽	鍠
锾	鍰
锿	鎄
镀	鍍
镁	鎂
镂	鏤
镃	鎡
镄	鐨
镅	鎇
镆	鏌
镇	鎮
镈	鎛
镉	鎘
镊	鑷
镋	钂
镌	鎸
镍	鎳
镎	鎿
镏	鎦
镐	鎬
镑	鎊
镒	鎰
镓	鎵
镔	鑌
镕	鎔
镖	鏢
镗	鏜
镘	鏝
镚	鏰
镛	鏞
镜	鏡
镝	鏑
镞	鏃
镠	鏐
镡	鐔
镢	鐝
镣	鐐
镤	鏷
镥	鑥
镦	鐓
镧	鑭
镨	鐠
镩	鑹
镪	鏹
镫	鐙
镬	鑊
镭	鐳
镮	鐶
镯	鐲
镰	鐮
镱	鐿
镲	鑔
镳	鑣
镴	鑞
镵	鑱
镶	鑲
长	長
閱	閲
门	門
闩	閂
闪	閃
闫	閆
闭	閉
问	問
闯	闖
闰	閏
闱	闈
闲	閑
闳	閎
间	間
闵	閔
闶	閌
闷	悶
闸	閘
闹	鬧
闺	閨
闻	聞
闼	闥
闽	閩
闾	閭
闿	闓
阀	閥
阁	閣
阂	閡
阃	閫
阄	鬮
阅	閲
阆	閬
阇	闍
阈	閾
阉	閹
阊	閶
阋	鬩
阌	閿
阍	閽
阎	閻
阏	閼
阐	闡
阑	闌
阒	闃
阔	闊
阕	闋
阖	闔
阗	闐
阘	闒
阙	闕
阚	闞
队	隊
阳	陽
阴	陰
阵	陣
阶	階
际	際
陆	陸
陇	隴
陈	陳
陉	陘
陕	陝
陨	隕
险	險
随	隨
隐	隱
隶	隸
难	難
雏	雛
雠	讎
雳	靂
雾	霧
霁	霽
霉	黴
霭	靄
靑	青
靓	靚
靜	静
靣	面
靥	靨
鞑	韃
鞒	鞽
鞯	韉
韦	韋
韧	韌
韨	韍
韩	韓
韪	韙
韫	韞
韬	韜
頹	頽
頺	頽
顏	顔
顚	顛
页	頁
顶	頂
顷	頃
顸	頇
项	項
顺	順
顼	頊
顽	頑
顾	顧
顿	頓
颀	頎
颁	頒
颂	頌
颃	頏
预	預
颅	顱
领	領
颇	頗
颈	頸
颉	頡
颊	頰
颋	頲
颌	頜
颍	潁
颎	熲
颏	頦
